id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating
561,BURNETT MEDICAL CENTER,257 W ST GEORGE AVE,GRANTSBURG,WI,54840,BURNETT,7154635353,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
562,LOVELACE WOMEN'S HOSPITAL,4701 MONTGOMERY BOULEVARD NE,ALBUQUERQUE,NM,87109,BERNALILLO,5057277805,Acute Care Hospitals,Government - State,TRUE,TRUE,3
563,MINIDOKA MEMORIAL HOSPITAL,1224 8TH STREET,RUPERT,ID,83350,MINIDOKA,2084360481,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
564,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
565,IOWA SPECIALTY HOSPITAL - BELMOND,403 FIRST STREET SE,BELMOND,IA,50421,WRIGHT,6414443223,Critical Access Hospitals,Government - Local,TRUE,TRUE,5
566,"CALDWELL MEMORIAL HOSPITAL, INC",411 MAIN STREET,COLUMBIA,LA,71418,CALDWELL,3186496111,Acute Care Hospitals,Proprietary,FALSE,TRUE,4
567,STOUGHTON HOSPITAL,900 RIDGE ST,STOUGHTON,WI,53589,DANE,6088736611,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
568,MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050,CARTHAGE,IL,62321,HANCOCK,2173578850,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
569,DEACONESS HOSPITAL,W 800 FIFTH AVENUE,SPOKANE,WA,99210,SPOKANE,5094735800,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
570,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792,THOMAS,2292282880,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
571,CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE,2201 S STERLING ST,MORGANTON,NC,28655,BURKE,8285805000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
572,OSBORNE COUNTY MEMORIAL HOSPITAL,424 W NEW HAMPSHIRE STREET,OSBORNE,KS,67473,OSBORNE,7853462121,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
573,GREATER BALTIMORE MEDICAL CENTER,6701 NORTH  CHARLES STREET,BALTIMORE,MD,21204,BALTIMORE,4438492000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
574,NATHAN LITTAUER HOSPITAL,99 EAST STATE STREET,GLOVERSVILLE,NY,12078,FULTON,5187258621,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
575,MCLAREN GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,INGHAM,5179756000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
576,WESTLAKE COMMUNITY HOSPITAL,1225 LAKE ST,MELROSE PARK,IL,60160,COOK,7089384000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
577,BARNES-KASSON COUNTY HOSPITAL,2872 TURNPIKE STREET,SUSQUEHANNA,PA,18847,SUSQUEHANNA,5708533135,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
578,NORTH METRO MEDICAL CENTER,1400 BRADEN STREET,JACKSONVILLE,AR,72076,PULASKI,5019857000,Acute Care Hospitals,Proprietary,TRUE,,2
579,MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,71731,UNION,8708632000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
580,MARTIN MEDICAL CENTER,200 SE HOSPITAL AVE,STUART,FL,34995,MARTIN,7722875200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
581,BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,700 SCOTT & WHITE DRIVE,COLLEGE STATION,TX,77845,BRAZOS,9796913701,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
582,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,9888 GENESEE AVENUE,LA JOLLA,CA,92037,SAN DIEGO,8586264123,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,5
583,SAMARITAN MEDICAL CENTER,830 WASHINGTON STREET,WATERTOWN,NY,13601,JEFFERSON,3157854121,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
584,LAWRENCE MEMORIAL HOSPITAL,325 MAINE STREET,LAWRENCE,KS,66044,DOUGLAS,7855056100,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
585,SHASTA REGIONAL MEDICAL CENTER,1100 BUTTE ST,REDDING,CA,96001,SHASTA,5302445454,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
586,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,CA,91346,LOS ANGELES,8183658051,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
587,MCLAREN PORT HURON,1221 PINE GROVE AVE,PORT HURON,MI,48060,SAINT CLAIR,8109875000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
588,SWISHER MEMORIAL HOSPITAL,539 SOUTHEAST 2ND,TULIA,TX,79088,SWISHER,8069953581,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
589,METHODIST HOSPITALS INC,600 GRANT ST,GARY,IN,46402,LAKE,2198864000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
590,HOLY FAMILY HOSPITAL,70 EAST STREET,METHUEN,MA,1844,ESSEX,9786870156,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
591,MCLEOD MEDICAL CENTER - DARLINGTON,701 CASHUA FERRY ROAD,DARLINGTON,SC,29540,DARLINGTON,8437771100,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available
592,POCAHONTAS MEMORIAL HOSPITAL,150 DUNCAN ROAD,BUCKEYE,WV,24924,POCAHONTAS,3047997400,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
593,SKYLINE HOSPITAL,211 SKYLINE DRIVE,WHITE SALMON,WA,98672,KLICKITAT,5094911101,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
594,BLACKWELL REGIONAL HOSPITAL,710 SOUTH 13TH STREET,BLACKWELL,OK,74631,KAY,5803632311,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
595,GULF COAST REGIONAL MEDICAL CENTER,449 W 23RD ST,PANAMA CITY,FL,32405,BAY,8507477926,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
596,OAKES COMMUNITY HOSPITAL,1200 N 7TH ST,OAKES,ND,58474,DICKEY,7017423291,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
597,SUTTER LAKESIDE HOSPITAL,5176 HILL ROAD EAST,LAKEPORT,CA,95453,LAKE,7072625000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
598,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BLVD,TORRANCE,CA,90509,LOS ANGELES,3103259110,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
599,SAINT JOHN HOSPITAL,3500 SOUTH 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,9136806000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
600,FRANCISCAN HEALTH CARMEL,12188 B NORTH MERIDIAN STREET,CARMEL,IN,46032,HAMILTON,3177054500,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,Not Available
601,BAY PARK COMMUNITY HOSPITAL,2801 BAY PARK DRIVE,OREGON,OH,43616,LUCAS,4196907700,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
602,UNIVERSITY OF TOLEDO MEDICAL CENTER,3000 ARLINGTON AVENUE,TOLEDO,OH,43699,LUCAS,4193833407,Acute Care Hospitals,Government - State,TRUE,TRUE,1
603,PUTNAM COUNTY HOSPITAL,1542 S BLOOMINGTON ST,GREENCASTLE,IN,46135,PUTNAM,7656535121,Critical Access Hospitals,Government - Local,TRUE,TRUE,4
604,STONEWALL JACKSON MEMORIAL HOSPITAL,230 HOSPITAL PLAZA,WESTON,WV,26452,LEWIS,3042698080,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
605,MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,FL,32224,DUVAL,9049532000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
606,BELTON REGIONAL MEDICAL CENTER,17065 S 71 HIGHWAY,BELTON,MO,64012,CASS,8163481236,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
607,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,1400 EIGHTH AVE,FORT WORTH,TX,76104,TARRANT,8179262544,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
608,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,MARTINEZ,CA,94553,CONTRA COSTA,9253705000,Acute Care Hospitals,Government - Local,TRUE,TRUE,2
609,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,6101 PINE RIDGE ROAD,NAPLES,FL,34119,COLLIER,2393484000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
610,MERCY HOSPITAL FAIRFIELD,3000 MACK ROAD,FAIRFIELD,OH,45014,BUTLER,5138707197,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
611,WEST HOLT MEMORIAL HOSPITAL,406 W NEELY ST,ATKINSON,NE,68713,HOLT,4029252811,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
612,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,200 HWY 30 WEST,NEW ALBANY,MS,38652,UNION,6625387631,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
613,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,6313763000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1
614,SAINT MICHAEL'S MEDICAL CENTER,111 CENTRAL AVENUE,NEWARK,NJ,7102,ESSEX,9738775350,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,2
615,COFFEYVILLE REGIONAL MEDICAL CENTER,1400 W 4TH ST,COFFEYVILLE,KS,67337,MONTGOMERY,6202511200,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
616,DOCTORS MEDICAL CENTER,1441 FLORIDA AVENUE,MODESTO,CA,95350,STANISLAUS,2095781211,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
617,LIMA MEMORIAL HEALTH SYSTEM,1001 BELLEFONTAINE AVENUE,LIMA,OH,45804,ALLEN,4199984731,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
618,THE ORTHOPEDIC SPECIALTY HOSPITAL,5848 SOUTH 300 EAST,MURRAY,UT,84107,SALT LAKE,8013144100,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available
619,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,7700 S BROADWAY,LITTLETON,CO,80122,ARAPAHOE,3037305888,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
620,HIGHLANDS HOSPITAL,401 EAST MURPHY AVENUE,CONNELLSVILLE,PA,15425,FAYETTE,7246281500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
621,ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,5165796000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
622,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,411 N BELKNAP ST,STEPHENVILLE,TX,76401,ERATH,2549651500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
623,HOCKING VALLEY COMMUNITY HOSPITAL,601 STATE ROUTE 664N,LOGAN,OH,43138,HOCKING,7403808000,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
624,DIXIE REGIONAL MEDICAL CENTER,1380 EAST MEDICAL CENTER DRIVE,ST GEORGE,UT,84790,WASHINGTON,4352512100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
625,"SHRINERS' HOSPITAL FOR CHILDREN - BOSTON, THE",51 BLOSSOM STREET,BOSTON,MA,2114,SUFFOLK,6177223000,Childrens,Proprietary,FALSE,TRUE,Not Available
626,MID VALLEY HOSPITAL,810 JASMINE STREET,OMAK,WA,98841,OKANOGAN,5098261760,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
627,WALDO COUNTY GENERAL HOSPITAL,PO BOX 287,BELFAST,ME,4915,WALDO,2073382500,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
628,GENESIS HOSPITAL,2951 MAPLE AVENUE,ZANESVILLE,OH,43701,MUSKINGUM,7404545000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
629,CABINET PEAKS MEDICAL CENTER,209 HEALTH PARK DR,LIBBY,MT,59923,LINCOLN,4062930100,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
630,SWEDISH ISSAQUAH,751 NE BLAKELY DR,ISSAQUAH,WA,98029,KING,4253134000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
631,RUMFORD  HOSPITAL,420 FRANKLIN STREET,RUMFORD,ME,4276,OXFORD,2073691000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
632,BUCHANAN COUNTY HEALTH CENTER,1600 FIRST ST EAST,INDEPENDENCE,IA,50644,BUCHANAN,3193320999,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
633,SOUTHERN COOS HOSPITAL & HEALTH CENTER,900 11TH STREET SE,BANDON,OR,97411,COOS,5413472426,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
634,LAKE CITY COMMUNITY HOSPITAL,258 N RON MCNAIR BLVD,LAKE CITY,SC,29560,FLORENCE,8433742036,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
635,STARR COUNTY MEMORIAL HOSPITAL,128  N FM RD 3167,RIO GRANDE CITY,TX,78582,STARR,9564875561,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
636,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,523 NORTH 3RD STREET,BRAINERD,MN,56401,CROW WING,2188292861,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
637,"COMMUNITY MEDICAL CENTER, INC","P O BOX 399, 3307 BARADA ST",FALLS CITY,NE,68355,RICHARDSON,4022452428,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
638,PARIS REGIONAL MEDICAL CENTER,820 CLARKSVILLE ST,PARIS,TX,75460,LAMAR,9037854521,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
639,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER,8260 ATLEE ROAD,MECHANICSVILLE,VA,23116,HANOVER,8047646000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
640,"HOSPITAL PAVIA HATO REY, INC",AVE PONCE DE LEON 435,HATO REY,PR,919,SAN JUAN,7877540909,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
641,MARLBOROUGH HOSPITAL,157 UNION STREET,MARLBOROUGH,MA,1752,MIDDLESEX,5084815000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
642,GOOD SAMARITAN HOSPITAL,901 OLIVE DRIVE,BAKERSFIELD,CA,93308,KERN,6613994461,Acute Care Hospitals,Proprietary,FALSE,TRUE,2
643,TIDELANDS WACCAMAW COMMUNITY HOSPITAL,4070 HIGHWAY 17 BYPASS PO DRAWER 3350,MURRELLS INLET,SC,29576,GEORGETOWN,8436521000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
644,LANDMARK MEDICAL CENTER,115 CASS AVENUE,WOONSOCKET,RI,2895,PROVIDENCE,4017694100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
645,TYLER MEMORIAL HOSPITAL,5950 STATE ROUTE 6 WEST,TUNKHANNOCK,PA,18657,WYOMING,5708362161,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
646,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,DAYTONA BEACH,FL,32114,VOLUSIA,3862544000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
647,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,MOUNT HOLLY,NJ,8060,BURLINGTON,6099146200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
648,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S 17TH ST BOX 9000,WILMINGTON,NC,28402,NEW HANOVER,9103437000,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
649,BROOKS COUNTY HOSPITAL,903 N COURT STREET,QUITMAN,GA,31643,BROOKS,9122636309,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
650,UNION HOSPITAL OF CECIL COUNTY,106 BOW STREET,ELKTON,MD,21921,CECIL,4103927009,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
651,OAKLAWN HOSPITAL,200 N MADISON,MARSHALL,MI,49068,CALHOUN,2697814271,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,5
652,EAST TENNESSEE CHILDRENS HOSPITAL,2018 CLINCH AVE SW,KNOXVILLE,TN,37916,KNOX,8655418000,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available
653,CAPE CANAVERAL HOSPITAL,701 W COCOA BEACH CAUSEWAY,COCOA BEACH,FL,32932,BREVARD,3217997111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
654,"ROY LESTER SCHNEIDER HOSPITAL,THE",9048 SUGAR ESTATE,ST THOMAS,VI,801,,8097768311,Acute Care Hospitals,Government - Local,TRUE,TRUE,2
655,BRANDON REGIONAL HOSPITAL,119 OAKFIELD DR,BRANDON,FL,33511,HILLSBOROUGH,8136815551,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
656,JEFF DAVIS HOSPITAL,"163 SOUTH TALLAHASSEE STREET, P O BOX 1690",HAZLEHURST,GA,31539,JEFF DAVIS,9123757781,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
657,BAYFRONT HEALTH - ST PETERSBURG,701 6TH ST S,SAINT PETERSBURG,FL,33701,PINELLAS,7278231234,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
658,TENNOVA HEALTHCARE-CLEVELAND,2305 CHAMBLISS AVE NW,CLEVELAND,TN,37311,BRADLEY,4233394132,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
659,PALMETTO HEALTH BAPTIST,TAYLOR AT MARION ST,COLUMBIA,SC,29220,RICHLAND,8032965678,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
660,ST BERNARD HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,COOK,7739623900,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
661,HOAG ORTHOPEDIC INSTITUTE,16250 SAND CANYON AVENUE,IRVINE,CA,92618,ORANGE,9497275000,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available
662,ST CHARLES SURGICAL HOSPITAL LLC,1717 ST CHARLES AVE,NEW ORLEANS,LA,70130,ORLEANS,5045296600,Acute Care Hospitals,Physician,FALSE,,Not Available
663,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care Hospitals,Government - State,TRUE,TRUE,3
664,SHERMAN OAKS HOSPITAL,4929 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,LOS ANGELES,8189817111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
665,BEAR LAKE MEMORIAL HOSPITAL,164 SOUTH FIFTH STREET,MONTPELIER,ID,83254,BEAR LAKE,2088471630,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
666,RIO GRANDE HOSPITAL,310 COUNTY RD 14,DEL NORTE,CO,81132,RIO GRANDE,7196572510,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
667,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,2125887000,Acute Care Hospitals,Proprietary,TRUE,TRUE,1
668,BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND,2300 MARIE CURIE DRIVE,GARLAND,TX,75042,DALLAS,9724875000,Acute Care Hospitals,Government - Federal,TRUE,TRUE,3
669,BEAR VALLEY COMMUNITY HOSPITAL,41870 GARSTIN DR,BIG BEAR LAKE,CA,92315,SAN BERNARDINO,9098666501,Critical Access Hospitals,Government - Hospital District or Authority,FALSE,TRUE,Not Available
670,BIG HORN CO MEMORIAL HOSPITAL,17 N MILES,HARDIN,MT,59034,BIG HORN,4066652310,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
671,LOURDES MEDICAL CENTER,520 N FOURTH AVENUE,PASCO,WA,99301,FRANKLIN,5095462278,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
672,UNITY POINT HEALTH TRINITY,4500 UTICA RIDGE ROAD,BETTENDORF,IA,52722,SCOTT,5637425000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
673,WINSTON MEDICAL CENTER & SWINGBED,562 CHURCH  EAST MAIN STREET,LOUISVILLE,MS,39339,WINSTON,6627795124,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
674,ADVENTIST MEDICAL CENTER - REEDLEY,372 W CYPRESS AVE,REEDLEY,CA,93654,FRESNO,5596388155,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,2
675,FORREST GENERAL HOSPITAL,6051 US HIGHWAY 49,HATTIESBURG,MS,39404,FORREST,6012887000,Acute Care Hospitals,Government - Local,TRUE,TRUE,2
676,FAIRBANKS,8102 CLEARVISTA PARKWAY,INDIANAPOLIS,IN,46256,MARION,3178498222,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available
677,DOUGLAS COUNTY MEMORIAL HOSPITAL-CAH,708 8TH ST,ARMOUR,SD,57313,DOUGLAS,6057242159,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
678,LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,CO,80033,JEFFERSON,3034254500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
679,RIVERSIDE REGIONAL MEDICAL CENTER,500 J CLYDE MORRIS BLVD,NEWPORT NEWS,VA,23601,NEWPORT NEWS CITY,7575942000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
680,SIDNEY HEALTH CENTER,216 14TH AVE SW,SIDNEY,MT,59270,RICHLAND,4064882100,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
681,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE,CHATTANOOGA,TN,37404,HAMILTON,4238944220,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
682,TOLEDO HOSPITAL THE,2142 NORTH COVE BOULEVARD,TOLEDO,OH,43606,LUCAS,4192917463,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
683,SCENIC MOUNTAIN MEDICAL CENTER,1601 W 11TH PLACE,BIG SPRING,TX,79720,HOWARD,4322631211,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
684,BROWARD HEALTH CORAL SPRINGS,3000 CORAL HILLS DR,CORAL SPRINGS,FL,33065,BROWARD,9543443000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
685,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
686,SAINT THOMAS WEST HOSPITAL,"4220 HARDING RD, PO BOX 380",NASHVILLE,TN,37205,DAVIDSON,6152222111,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
687,MILE BLUFF MEDICAL CENTER,1050 DIVISION ST,MAUSTON,WI,53948,JUNEAU,6088476161,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
688,LORING HOSPITAL,211 HIGHLAND AVENUE PO BOX 217,SAC CITY,IA,50583,SAC,7126627105,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
689,DECATUR COUNTY HOSPITAL,1405 NW CHURCH STREET,LEON,IA,50144,DECATUR,6414464871,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
690,JOHN DEMPSEY HOSPITAL,263 FARMINGTON AVE,FARMINGTON,CT,6032,HARTFORD,8606791145,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
691,THEDACARE MEDICAL CENTER NEW LONDON,1405 MILL ST,NEW LONDON,WI,54961,OUTAGAMIE,9205312000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
692,ST AGNES HOSPITAL,430 E DIVISION ST,FOND DU LAC,WI,54935,FOND DU LAC,9209292300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
693,MOUNTAIN VIEW HOSPITAL,1000 EAST 100 NORTH,PAYSON,UT,84651,UTAH,8014657100,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
694,TRI COUNTY HOSPITAL,415 JEFFERSON STREET NORTH,WADENA,MN,56482,WADENA,2186313510,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
695,COMMUNITY MEMORIAL HOSPITAL,208 N COLUMBUS ST,HICKSVILLE,OH,43526,DEFIANCE,4195426692,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
696,FRANCES MAHON DEACONESS HOSPITAL,621 3RD ST S,GLASGOW,MT,59230,VALLEY,4062283500,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
697,ST HELENA HOSPITAL,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,7079633611,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,3
698,ARKANSAS CHILDREN'S HOSPITAL,"1 CHILDREN'S WAY, SLOT 301",LITTLE ROCK,AR,72202,PULASKI,5013641100,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available
699,ST ANTHONY HOSPITAL,1000 NORTH LEE AVENUE,OKLAHOMA CITY,OK,73101,OKLAHOMA,4052727000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
700,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,MARICOPA,6233274000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
701,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN ST,LAKE CITY,FL,32055,COLUMBIA,3862928000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
702,ELKHART GENERAL HOSPITAL,600 E BLVD,ELKHART,IN,46514,ELKHART,5742942621,Acute Care Hospitals,Government - Local,TRUE,TRUE,4
